VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,CO2_tons_per_MMBTU,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,z1,z2,z3
,,,,,,,,107,695225.8911750303,309197.81175280106,96000.5885767942
,,,,,,,,108,770486.1182434696,372319.3313204164,123261.83771537492
,,,,,,,,109,691515.4665673538,347862.33277049294,135353.37769554817
,,,,,,,,110,588510.7493877322,286384.8461670339,112242.58640614549
,,,,,,,,111,582177.4838841571,257018.5737737717,139914.54091763773
,,,,,,,,112,584419.950901679,258829.57275623863,175257.6409812403
,,,,,,,,113,568347.8771653834,259930.33354711765,161956.27671503572
,,,,,,,,114,585425.8940543407,272613.59035861614,137588.92051130006
,,,,,,,,115,656745.7978081525,315731.25445197185,142188.8094269796
,,,,,,,,116,614181.7807951216,274329.5196735739,156772.10945360883
,,,,,,,,117,511820.21445926116,258988.21596023953,132740.77598955756
,,,,,,,,118,484168.61214000086,279262.467270514,165802.2084516182
,,,,,,,,119,621556.3372603157,261851.54029479937,158744.63085012673
,,,,,,,,120,606525.2017919645,254831.96306740044,123582.57536377356
,,,,,,,,121,540140.5565465845,239355.12897139136,96463.77085606012
,,,,,,,,122,519785.57461021276,261962.1946013638,90050.12709200397
,,,,,,,,123,537007.775373674,267111.35522716417,94643.49316376567
,,,,,,,,124,478321.6514260762,250951.55693728407,107573.85754513892
,,,,,,,,125,516169.1918921285,231112.32051842054,114045.19528339777
,,,,,,,,126,426674.14568994584,231559.40825648193,96197.24340678914
,,,,,,,,127,393518.47870343406,259847.62950774393,85420.47298842204
,,,,,,,,128,382071.10836198035,244669.0165724776,100007.13270363049
,,,,,,,,129,407311.3407817529,221733.79619796274,93916.7821356472
,,,,,,,,130,419582.01247592055,233572.2492475884,98638.48223732779
,,,,,,,,131,406055.1581967178,218006.84024082148,91476.08575937
,,,,,,,,132,409642.43423130375,205674.63462885207,91781.99569451468
,,,,,,,,133,423918.23443331354,219813.43954829616,103504.92285481872
,,,,,,,,134,443411.5650146944,205801.08351653657,104171.48911355739
,,,,,,,,135,499171.28005236236,202588.86787310705,85006.33265931279
,,,,,,,,136,493826.2073481272,218060.31973065925,83890.87370984929
,,,,,,,,137,425873.6516192159,209261.70360668725,84843.8004010849
,,,,,,,,138,447854.3360764117,213075.81080128692,89043.7110022522
,,,,,,,,139,466087.95990950824,248183.7590045685,82763.57265887498
,,,,,,,,140,409581.8386098174,238863.3627962682,78652.4102971858
,,,,,,,,141,402711.8272354716,249979.37362690328,75762.95847936289
,,,,,,,,142,370417.7314011986,239303.79638694873,86457.71938629911
,,,,,,,,143,358594.6384794689,216250.5835593423,86845.36931792522
,,,,,,,,144,347646.5737036196,225601.5844738894,94914.66885724384
,,,,,,,,145,365159.4245188417,235528.46849136407,107000.13773164386
,,,,,,,,146,350174.69212808047,223951.11250788777,106374.27238268146
,,,,,,,,147,340736.06185884954,200532.8957402183,93265.30190306019
,,,,,,,,148,354756.66920914693,199571.19150127587,95494.66120180019
,,,,,,,,149,360988.64067809994,190690.55430032767,88053.88597822872
,,,,,,,,150,360522.11320393597,205750.02904316824,89088.01342307447
,,,,,,,,151,345027.86730489176,200473.0855960929,80516.82780930013
,,,,,,,,152,311696.6582905249,188260.00437428048,74679.02699182801
,,,,,,,,153,307948.5800624395,180713.58119630688,72839.3612485412
,,,,,,,,154,309346.55875096784,175699.5403517358,72204.97210985405
,,,,,,,,155,351791.09487043193,198465.58647929417,80067.10550079588
,,,,,,,,156,335349.2931044244,191557.84977855638,77142.1218460743
,,,,,,,,157,339407.2846308442,185447.3090290095,73961.60352841397
,,,,,,,,158,393814.27696632495,198466.37885597965,77427.79302997832
,,,,,,,,159,374972.37045141845,190085.18935460201,77387.06312794928
,,,,,,,,160,328311.8027932565,183967.46149423555,70178.56357734161
,,,,,,,,161,278767.5030628012,164992.95957253428,61512.336601109535
,,,,,,,,162,314616.9741006739,171293.58505201418,71487.13758545116
,,,,,,,,163,362056.8430376308,170364.01048997388,88826.30338023073
,,,,,,,,164,343983.3768776802,176484.45288370457,76244.76806361483
,,,,,,,,165,334374.02974272065,179796.18412436696,75104.01455260697
,,,,,,,,166,414362.2206540765,184162.92244392177,91246.81058336282
,,,,,,,,167,357889.4193090253,178186.54915709564,82865.76981161456
,,,,,,,,168,288688.17831718817,164482.0861225283,71472.02465660174
,,,,,,,,169,298047.01100883423,170677.74228526585,69131.3431286569
,,,,,,,,170,295636.3463215792,169995.1798640605,67132.16932324077
,,,,,,,,171,299638.4069258111,168782.61789210496,67391.18445404123
,,,,,,,,172,296988.8494916586,168845.62906919772,65160.0354413232
,,,,,,,,173,296386.44501431484,167789.34003205196,64946.772453896556
,,,,,,,,174,291436.15462548286,164965.20501817646,66092.2358428782
,,,,,,,,175,269612.8423020659,155361.05990360465,61375.79334613393
,,,,,,,,176,289279.9157236769,167137.23705382,64914.74236026958
,,,,,,,,177,289381.48887347255,166427.54679134564,64066.69239614444
,,,,,,,,178,289877.2408706177,166764.86992172955,64594.477220685614
,,,,,,,,179,290951.87802975223,167620.95803964764,63506.37779347814
,,,,,,,,180,290980.3903439231,166052.5623576739,63742.33026383925
,,,,,,,,181,288632.4846580147,164965.60967066453,62806.93602338982
,,,,,,,,182,255186.8825153801,155548.00898669718,61741.320830274126
,,,,,,,,183,276093.6302233445,168994.17774707024,66804.16156727614
,,,,,,,,184,275974.1944699053,167401.83757278073,64892.478420167114
,,,,,,,,185,271963.7166170889,167023.82449396438,64319.88605852127
,,,,,,,,186,269887.5623197519,167625.79926911398,65020.392113336566
,,,,,,,,187,268779.38073977904,168560.8330026494,65165.13845961941
,,,,,,,,188,267271.6583909728,168288.56516151017,64885.09521164978
,,,,,,,,189,248681.42509597307,158048.19605046918,61713.63117240259
,,,,,,,,190,268320.9287002881,166365.54446081084,65075.31121593996
,,,,,,,,191,268391.75864296965,166235.57875377816,63970.628580448465
,,,,,,,,192,269947.44418384775,167818.1292442752,66507.95996759553
,,,,,,,,193,273607.73880482564,170411.75360401085,66306.94683693472
,,,,,,,,194,269105.6015947729,168095.88651554487,65065.62520141683
,,,,,,,,195,266958.5666116327,165109.37436559808,64214.20914895082
,,,,,,,,196,248258.4384216729,155669.1327058304,60671.92771397378
,,,,,,,,197,268155.16197664,166383.33022554335,64051.19482131931
,,,,,,,,198,267786.052293786,166376.3905893924,64597.36039829053
,,,,,,,,199,268911.0698735239,166065.21293142016,64087.59838862131
,,,,,,,,200,266099.66804753675,166516.39393680755,65383.15781946288
,,,,,,,,201,266619.32282494527,167801.45763723206,64350.63799887308
,,,,,,,,202,264794.0625611059,165247.2174036625,64370.71618609612
,,,,,,,,203,244308.14381889667,153764.41206745955,60282.86895449068
,,,,,,,,204,266315.7063729544,166508.68971992028,64301.285790849055
,,,,,,,,205,267168.0836107003,166578.95943323718,64229.7509842703
,,,,,,,,206,270645.05508221604,166000.05845947983,65415.47578495748
,,,,,,,,207,269641.45269954763,168615.24803553044,66001.71701653155
,,,,,,,,208,267190.4256682077,170116.20536634888,64357.621378890806
,,,,,,,,209,265105.4252635538,165496.33348713882,63968.07001658737
,,,,,,,,210,248923.4767207497,153956.80795161758,60235.30196734035
,,,,,,,,211,270776.9036650354,166027.3388153877,64357.1097205696
,,,,,,,,212,265230.24761896743,166728.99074661848,63768.283974444654
,,,,,,,,213,264063.41160698107,168408.0562109702,64077.973506677314
,,,,,,,,214,263511.29246554465,167472.7085489604,64726.04857375751
,,,,,,,,215,263363.4472682056,166875.0785390098,64768.588712403944
,,,,,,,,216,259267.4055319292,166217.32568936254,63709.501231542905
,,,,,,,,217,241335.40001496868,158983.98595969344,61740.0628022333
,,,,,,,,218,266679.97613196913,171655.51225011732,66057.85151125843
,,,,,,,,219,268555.901413654,174382.8840130466,65642.33767567611
,,,,,,,,220,272041.2853974092,174110.42050270044,66611.4924334058
,,,,,,,,221,270549.3877453301,169795.895551702,69117.79589462081
