VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,tons_CO2_per_MMBTU,Time_Index,z1,z2,z3
,,,,,,,,93,1.04E+06,378211.1443,144341.969
,,,,,,,,94,997135.3513,353402.9922,164411.0265
,,,,,,,,95,1.03E+06,332532.5438,176592.1534
,,,,,,,,96,1.01E+06,332697.118,178054.0108
,,,,,,,,97,964939.3883,293329.2966,190784.2389
,,,,,,,,98,918521.854,328752.7789,149701.3386
,,,,,,,,99,960825.2615,360649.132,136587.937
,,,,,,,,100,925831.5457,338927.2596,119019.5673
,,,,,,,,101,965124.575,334773.308,137187.5683
,,,,,,,,102,1.08E+06,364442.2909,126788.3505
,,,,,,,,103,1.05E+06,314281.839,108350.4714
,,,,,,,,104,956146.5386,304352.4588,101857.7824
,,,,,,,,105,774199.9901,293050.8912,111829.2316
,,,,,,,,106,691804.9326,308505.9952,102432.9564
,,,,,,,,107,934552.9487,308935.7516,96000.58858
,,,,,,,,108,1.05E+06,372057.2712,123261.8377
,,,,,,,,109,964396.9426,347600.2726,135353.3777
,,,,,,,,110,780916.1589,286122.786,112242.5864
,,,,,,,,111,821097.6345,256756.5136,139914.5409
,,,,,,,,112,843258.7816,258567.5126,175257.641
,,,,,,,,113,826144.0947,259668.2734,161956.2767
,,,,,,,,114,820426.0609,272351.5302,137588.9205
,,,,,,,,115,879163.3962,315469.1943,142188.8094
,,,,,,,,116,911552.505,274067.4595,156772.1095
,,,,,,,,117,743996.5117,258726.1558,132740.776
,,,,,,,,118,699482.7016,279000.4071,165802.2085
,,,,,,,,119,803139.0004,261589.4801,158744.6309
,,,,,,,,120,779612.038,254569.9029,123582.5754
,,,,,,,,121,696246.4686,239101.5224,96463.77086
,,,,,,,,122,674502.3489,261708.588,90050.12709
,,,,,,,,123,696505.9158,266857.7486,94643.49316
,,,,,,,,124,662340.6341,250697.9503,107573.8575
,,,,,,,,125,697394.9676,230858.7139,114045.1953
,,,,,,,,126,586294.2991,231305.8017,96197.24341
,,,,,,,,127,576131.8862,259594.0229,85420.47299
,,,,,,,,128,564278.89,244415.41,100007.1327
,,,,,,,,129,569513.9851,221480.1896,93916.78214
,,,,,,,,130,559997.4372,233318.6426,98638.48224
,,,,,,,,131,532245.8321,217753.2336,91476.08576
,,,,,,,,132,545003.6892,205421.028,91781.99569
,,,,,,,,133,577508.1251,219559.8329,103504.9229
,,,,,,,,134,594005.5261,205547.4769,104171.4891
,,,,,,,,135,642788.7477,202335.2613,85006.33266
,,,,,,,,136,635663.4079,217806.7131,83890.87371
,,,,,,,,137,559876.4325,209008.097,84843.8004
,,,,,,,,138,594789.4433,212822.2042,89043.711
,,,,,,,,139,616182.042,247930.1524,82763.57266
,,,,,,,,140,544928.8475,238609.7562,78652.4103
,,,,,,,,141,549604.4259,249725.767,75762.95848
,,,,,,,,142,549095.0745,239050.1898,86457.71939
,,,,,,,,143,533097.2513,215996.977,86845.36932
,,,,,,,,144,532382.8421,225347.9779,94914.66886
,,,,,,,,145,552601.3985,235274.8619,107000.1377
,,,,,,,,146,526263.9316,223697.5059,106374.2724
,,,,,,,,147,471080.9595,200279.2891,93265.3019
,,,,,,,,148,485609.0214,199317.5849,95494.6612
,,,,,,,,149,494280.9605,190436.9477,88053.88598
,,,,,,,,150,493254.0302,205496.4224,89088.01342
,,,,,,,,151,474082.3938,200219.479,80516.82781
,,,,,,,,152,430150.0567,187997.9442,74679.02699
,,,,,,,,153,419671.6374,180451.521,72839.36125
,,,,,,,,154,413545.9896,175437.4802,72204.97211
,,,,,,,,155,472062.8668,198203.5263,80067.1055
,,,,,,,,156,455582.0625,191295.7896,77142.12185
,,,,,,,,157,482938.9722,185185.2489,73961.60353
,,,,,,,,158,524906.8483,198204.3187,77427.79303
,,,,,,,,159,488739.3015,189823.1292,77387.06313
,,,,,,,,160,435048.8298,183705.4013,70178.56358
